,Area,mnemonic,2011,2012,2013,2014,2015,2016,2017,2018,2019,Size,Latitude,Longitude,Convenience Store,Supermarket
130,Whitchurch (Shropshire),E34002927,9722,9712,9855,9883,10011,9917,9968,10111,10211,Small Town,52.970570000000066,-2.6851999999999516,0,3
131,Tidworth,E34002963,10023,10061,10098,10305,10971,10943,11304,11507,11686,Small Town,51.23710000000007,-1.6640299999999684,0,2
132,Barton-upon-Humber,E34002993,11080,11115,11227,11374,11449,11529,11659,11709,11670,Small Town,53.684640000000066,-0.44377999999994705,0,2
133,Keynsham,E34003029,15612,15670,15839,15869,16285,16739,17293,17945,18361,Small Town,51.414590000000025,-2.496959999999945,1,3
134,Sleaford,E34003071,17412,17594,17656,17858,17823,17912,17983,18331,18569,Small Town,52.99480000000007,-0.4108399999999506,0,3
135,Barrow-in-Furness,E34003078,45864,45322,44965,44874,44795,44662,44407,44407,44513,Medium Town,54.111020000000046,-3.2258099999999668,0,5
136,Clowne,E34003098,7601,7617,7667,7714,7827,7898,8129,8303,8393,Small Town,53.274810000000066,-1.264449999999954,0,2
137,Tiverton,E34003112,19606,19714,19727,19875,19946,19975,20150,20411,20587,Small Town,50.90555000000007,-3.4937699999999268,0,2
138,South Hayling,E34003129,15479,15520,15673,15746,15773,15646,15885,16034,16020,Small Town,50.789690000000064,-0.9772999999999571,0,1
139,Swaffham,E34003165,7257,7213,7424,7438,7602,7837,8052,8209,8278,Small Town,52.64402000000007,0.6897600000000352,0,3
140,Ledbury,E34003168,8853,8917,9027,9131,9157,9182,9202,9198,9156,Small Town,52.039560000000044,-2.4245899999999665,0,1
141,Skipton,E34003174,14613,14680,14630,14618,14709,14875,15047,15170,15329,Small Town,53.960210000000075,-2.0178899999999658,0,2
142,Bradford on Avon,E34003178,9162,9286,9290,9443,9475,9596,9638,9605,9756,Small Town,51.348340000000064,-2.251769999999965,0,1
143,Ludlow,E34003206,10532,10570,10555,10591,10519,10477,10537,10516,10557,Small Town,52.370570000000036,-2.718999999999937,0,2
144,Bingham,E34003218,9153,9214,9491,9706,9930,10051,10220,10268,10197,Small Town,52.95061000000004,-0.956389999999942,0,1
145,Lewes,E34003222,17357,17575,17657,17822,17767,17890,17880,17980,17943,Small Town,50.87322000000007,0.010630000000048769,1,2
146,Haxby,E34003244,11862,11782,11792,11808,11807,11902,11771,11715,11679,Small Town,54.015720000000044,-1.0740299999999363,0,1
147,Shaftesbury,E34003253,7324,7750,7944,8152,8431,8637,8726,8782,8935,Small Town,51.006050000000066,-2.187339999999949,0,1
148,Calne,E34003294,17335,17317,17494,17753,18007,18126,18089,18204,18408,Small Town,51.43767000000002,-2.0049299999999453,0,1
149,King's Hill,E34003297,7527,7788,7989,8284,8449,8585,8883,8935,8996,Small Town,51.27242000000007,0.3880600000000527,0,1
150,Beccles,E34003308,13868,13918,14021,14072,14121,14123,14167,14192,14197,Small Town,52.453670000000045,1.5668700000000513,0,4
151,Tiptree,E34003332,9168,9199,9113,9247,9301,9331,9220,9186,9219,Small Town,51.81645000000003,0.7453500000000304,0,2
152,Leighton Buzzard,E34003354,37648,38397,39145,39867,40697,41366,41814,42050,42573,Medium Town,51.91735000000007,-0.6638999999999555,1,3
153,Broughton Astley,E34003376,8994,9037,9017,8914,8893,8886,8950,9144,9220,Small Town,52.53192000000006,-1.2252299999999536,1,0
154,Brandon (Forest Heath),E34003397,9178,9017,9082,9357,9406,9213,9484,9474,9343,Small Town,52.44218216592756,0.6212679545955407,0,1
155,Bourne,E34003418,13948,14191,14591,15006,15473,15810,16145,16470,16780,Small Town,52.76962000000003,-0.3769799999999464,0,4
156,Cheadle,E34003425,11438,11388,11335,11313,11280,11303,11223,11232,11353,Small Town,53.395260000000064,-2.2124299999999266,1,5
157,Fleetwood,E34003462,25320,25169,25214,25303,25464,25575,25659,25553,25632,Medium Town,53.921350000000075,-3.0144099999999416,0,2
158,Shildon,E34003463,9957,9905,9830,9782,9812,9802,9908,9984,9938,Small Town,54.62888000000004,-1.6522999999999683,0,1
159,Ashby-de-la-Zouch,E34003491,12389,12425,12648,12806,13096,13435,13803,14157,14528,Small Town,52.74816000000004,-1.4741699999999582,0,3
160,Harpenden,E34003511,30314,30425,30550,30769,30925,31141,31167,31392,31613,Medium Town,51.816340000000075,-0.3566499999999451,1,1
161,Attleborough,E34003517,10596,10649,10852,10906,11050,11306,11518,11632,11659,Small Town,52.51907000000007,1.0144600000000423,0,2
162,Fleet,E34003525,38877,39448,39987,40306,40847,41048,41233,41592,42262,Medium Town,51.27688000000007,-0.8424199999999473,5,2
163,Wantage,E34003553,18574,18700,19006,19059,18985,19118,19397,19610,19834,Small Town,51.59182000000004,-1.4236999999999398,1,1
164,New Ollerton,E34003574,9846,9905,10039,10204,10375,10556,10623,10819,10955,Small Town,53.203670000000045,-1.0112799999999424,0,1
165,Uttoxeter,E34003596,13107,13191,13200,13172,13176,13130,13105,13283,13467,Small Town,52.896980000000035,-1.8697799999999347,1,2
166,Bircotes,E34003597,7960,7907,7861,7785,7864,7941,8134,8303,8506,Small Town,53.416600000000074,-1.0503099999999677,0,1
167,North Walsham,E34003606,12467,12415,12447,12479,12504,12462,12514,12586,12710,Small Town,52.81850000000003,1.3849100000000476,1,2
168,Seaton (East Devon),E34003628,8387,8421,8444,8402,8502,8562,8684,8740,8837,Small Town,50.704770000000046,-3.0751699999999573,0,1
169,Shepshed,E34003678,13497,13560,13526,13601,13671,13773,13969,13863,14059,Small Town,52.77095000000003,-1.2889399999999682,1,1
170,Clacton-on-Sea,E34003679,50547,50889,51271,51836,52544,53016,53398,53685,53768,Medium Town,51.801920000000045,1.1534100000000649,0,7
171,Whitby,E34003687,13196,13097,13182,13048,13049,13045,13029,13014,13143,Small Town,54.48522000000003,-0.6151399999999398,0,3
172,Ashbourne,E34003707,8385,8391,8488,8538,8612,8676,8801,8993,9163,Small Town,53.018290000000036,-1.7325999999999342,1,2
173,Congleton,E34003723,26222,26387,26360,26341,26405,26322,26250,26379,26380,Medium Town,53.16411000000005,-2.211819999999932,0,4
174,Todmorden,E34003742,11686,11929,11893,11974,12035,12080,12115,12159,12171,Small Town,53.71431000000007,-2.097299999999961,0,2
175,Stocksbridge,E34003743,13052,12972,12832,12866,12854,12800,12909,12979,13053,Small Town,53.48195000000004,-1.5910999999999262,0,2
176,Shifnal,E34003749,6242,6254,6375,6498,6623,6727,6995,7267,7618,Small Town,52.665480000000066,-2.372729999999933,1,0
177,Twyford (Wokingham),E34003750,7557,7608,7685,7626,7670,7671,7647,7801,7854,Small Town,51.42598079548841,-0.8397310095047935,0,1
178,Spennymoor,E34003756,17756,18016,18124,18304,18496,18745,18917,19226,19607,Small Town,54.701970000000074,-1.582189999999969,0,4
179,Alton (East Hampshire),E34003769,18323,18427,18645,18749,19099,19293,19268,19371,19785,Small Town,51.14765000000007,-0.974869999999953,1,2
180,Neston,E34003804,15053,15025,15015,15138,15242,15210,15202,15124,15104,Small Town,53.29072000000008,-3.0645699999999465,0,2
181,Middlewich,E34003809,13628,13654,13666,13891,13961,14109,14138,14084,14130,Small Town,53.19233000000003,-2.4531699999999432,0,2
182,Edenbridge,E34003851,8218,8349,8573,8820,8838,8816,8831,8955,9004,Small Town,51.19741000000005,0.06473000000005412,2,1
183,Maryport,E34003862,9564,9555,9618,9605,9463,9556,9517,9501,9538,Small Town,54.71250000000003,-3.49643999999995,0,1
184,Wymondham (South Norfolk),E34003864,13665,13749,14012,14374,14778,14908,15267,15606,16441,Small Town,52.57033000000007,1.1159500000000548,2,3
185,Saltash,E34003892,15588,15759,15746,15924,15847,15830,15919,15891,15762,Small Town,50.40883000000007,-4.213239999999929,0,1
186,Potters Bar,E34003904,22697,22683,22667,22943,23137,23367,23537,23505,23429,Small Town,51.693130000000046,-0.1783299999999599,0,2
187,Clevedon,E34003928,21039,20981,21090,21100,21217,21175,21117,21128,21138,Small Town,51.43593000000004,-2.8550599999999804,0,4
188,Tavistock,E34004090,12305,12314,12376,12493,12384,12485,12504,12471,12545,Small Town,50.55008000000004,-4.144849999999963,0,3
