,Area,Venue Category,Venue Name,Longitude,Latitude
118,Bolsover,Supermarket,Aldi,-1.3936572100680504,53.37551875856105
119,Bolsover,Supermarket,Asda,-1.4641282,53.3684948
120,March,Supermarket,Lidl,0.0851894098057415,52.5515347106456
121,March,Supermarket,Tesco Extra,0.1429096,52.6512748
122,March,Supermarket,Lidl,0.1468300699451925,52.65418849250972
123,March,Supermarket,Sainsbury's,0.0901830262401937,52.55028695234494
124,March,Supermarket,Tesco,0.0696656,52.561748
125,March,Supermarket,Asda,0.1552867,52.6694306
126,March,Supermarket,Morrisons,0.17359500172908068,52.64965388396585
127,March,Supermarket,Aldi,0.15806421420674063,52.66754723136616
128,March,Supermarket,The Co-operative Food - Littleport,0.3018341937961395,52.460226419699254
129,March,Supermarket,Tesco,-0.11282901321476661,52.45600955710723
130,Royston,Supermarket,Waitrose & Partners,0.11087615388009908,52.171594187807564
131,Royston,Supermarket,Waitrose & Partners,0.24171427976227733,52.02276668917362
132,Royston,Supermarket,Lidl,-0.202347136760853,51.9836750294127
133,Royston,Supermarket,Tesco Extra,-0.03282818477600813,52.05921940069507
134,Royston,Supermarket,Sainsbury's,-0.273135,52.0933527
135,Royston,Supermarket,Sainsbury's,-0.15900533705985653,51.89474869137678
136,Royston,Supermarket,Tesco,-0.2814827,52.1223846
137,Royston,Supermarket,Tesco Extra,-0.1863324,51.9851042
138,Royston,Supermarket,Sainsbury's Local,-0.22851833900207508,51.97758958307758
139,Royston,Supermarket,Sainsbury's,0.1361344361531014,52.18999608674339
140,Royston,Supermarket,Asda,-0.2648225,52.0882936
141,Royston,Grocery Store,The Co-operative Food - Cambourne,-0.0830250614230863,52.21712171982934
142,Royston,Supermarket,Morrisons,-0.23079872131347656,51.97837782711146
143,Royston,Supermarket,Sainsbury's,-0.21961043741703046,51.92443330823799
144,Royston,Supermarket,Sainsbury's,-0.20376355700215676,51.98201925252115
145,Royston,Supermarket,Nisa Local,0.1451411968373577,51.961373147402455
146,Royston,Supermarket,Nisa Local,-0.226214,51.991236
147,Royston,Supermarket,Morrisons,-0.0693511962890625,52.219058243634585
148,Royston,Supermarket,Aldi,-0.2638312405526844,52.0854481212121
149,Royston,Supermarket,Nisa Local,0.24614261226838607,52.01121555643442
150,Royston,Supermarket,Aldi,0.257629,52.012661
151,Royston,Supermarket,Tesco,0.25850763212474703,52.021916962710606
152,Royston,Convenience Store,Budgens,0.1532292366027832,52.18688634211043
153,Royston,Gas Station,Sainsbury's Petrol Station,-0.21885883374690884,51.92504909753028
154,Irthlingborough,Supermarket,Lidl,-0.594680646864692,52.2897947065582
155,Irthlingborough,Supermarket,Aldi,-0.6890682561843309,52.30205427213405
156,Irthlingborough,Supermarket,Waitrose & Partners,-0.6195625390885198,52.299460169911605
157,Irthlingborough,Supermarket,Sainsbury's,-0.720326,52.2919514
158,Irthlingborough,Supermarket,Asda,-0.5994737,52.2943948
159,Irthlingborough,Supermarket,Lidl,-0.734931118738718,52.4007478498706
160,Irthlingborough,Supermarket,Lidl,-0.684212250457485,52.2944084017526
161,Irthlingborough,Supermarket,Morrisons,-0.6954714227467669,52.30072787930519
162,Irthlingborough,Supermarket,Lidl,-0.8359715217302593,52.255334932237346
163,Irthlingborough,Supermarket,Lidl,-0.6142299451191906,52.30050271632772
164,Irthlingborough,Supermarket,Tesco,-0.6839593,52.290649
165,Irthlingborough,Supermarket,Sainsbury's Local,-0.59480208840339,52.285749668833716
166,Irthlingborough,Supermarket,Sainsbury's,-0.7271051971326514,52.402803119106395
167,Irthlingborough,Supermarket,Iceland,-0.7027250077956925,52.487689629778345
168,Irthlingborough,Supermarket,Lidl,-0.70045349,52.48364229
169,Irthlingborough,Supermarket,Asda,-0.5489862,52.3515812
170,Irthlingborough,Supermarket,Sainsbury's,-0.687268,52.185324
171,Irthlingborough,Supermarket,Sainsbury's,-0.678189181502169,52.36171313911513
172,Irthlingborough,Supermarket,Co-op,-0.5323318064508763,52.34453115687167
173,Irthlingborough,Supermarket,The Co-operative Food - Raunds,-0.5388465,52.3414002
174,Irthlingborough,Supermarket,Tesco Extra,-0.6870543,52.4849166
175,Irthlingborough,Supermarket,Aldi,-0.7195615768432617,52.37517343975692
176,Irthlingborough,Supermarket,Nisa Local,-0.715388610455193,52.399492683684166
177,Irthlingborough,Supermarket,Morrisons,-0.7315837959439265,52.400897029744335
178,Irthlingborough,Supermarket,Tesco Extra,-0.7216251861382261,52.37653602530057
179,Irthlingborough,Food & Drink Shop,The Co-Op,-0.6093573061364002,52.20128432707582
180,Irthlingborough,Supermarket,Aldi,-0.73551804,52.460983
181,Irthlingborough,Supermarket,The Co-operative Food - Rothwell,-0.7987256098217586,52.422882038014514
182,Irthlingborough,Supermarket,Asda,-0.7340869,52.4098084
183,Irthlingborough,Supermarket,Morrisons,-0.719447801638077,52.47135674773877
184,Irthlingborough,Supermarket,Morrisons,-0.8723485459504807,52.258821893580034
185,Irthlingborough,Supermarket,The Co-operative Food - Desborough,-0.8179451,52.4441488
186,Irthlingborough,Supermarket,Asda,-0.6807799,52.4958235
187,Irthlingborough,Supermarket,Tesco Extra,-0.8353652500386488,52.25664014256987
188,Irthlingborough,Shopping Mall,Weston Favell Shopping Centre,-0.8358192443847656,52.256547713865515
189,Freshwater,Supermarket,Waitrose & Partners,-1.550117868717166,50.7577130579932
190,Freshwater,Supermarket,Lidl,-1.6585227362158,50.7464964678145
191,Freshwater,Supermarket,Waitrose & Partners,-1.778259982820714,50.736429062000006
192,Freshwater,Supermarket,Asda,-1.2860036,50.6925234
193,Freshwater,Supermarket,Tesco,-1.6457515,50.7506972
194,Freshwater,Supermarket,Waitrose & Partners,-1.288321,50.758667
195,Freshwater,Supermarket,Lidl,-1.2944285100717152,50.70250119412698
196,Freshwater,Supermarket,Morrisons,-1.654967949505409,50.7540859925257
197,Freshwater,Supermarket,Sainsbury's Local,-1.5245156,50.68235744
198,Freshwater,Supermarket,Lidl,-1.75205476054455,50.737791883805
199,Freshwater,Supermarket,Morrisons,-1.2925799667061928,50.698317862842565
200,Freshwater,Supermarket,Sainsbury's,-1.2971494399955419,50.76112830973822
201,Freshwater,Supermarket,Sainsbury's,-1.2996447,50.7016067
202,Freshwater,Grocery Store,Tesco Metro,-1.5403319,50.7587951
203,Freshwater,Supermarket,Sainsbury's,-1.7418937641035015,50.74418442815055
204,Freshwater,Supermarket,Nisa Local,-1.3223719533730218,50.75617342540894
205,Freshwater,Supermarket,Aldi,-1.305712530409452,50.74906339590197
206,Freshwater,Supermarket,Aldi,-1.3056270405324921,50.74934153093546
207,Barnoldswick,Grocery Store,Booths,-2.395078229218365,53.87185486512152
208,Barnoldswick,Supermarket,Lidl,-2.1710334365122055,53.8601291052687
209,Barnoldswick,Supermarket,Aldi,-2.2460053658828683,53.79246116283681
210,Barnoldswick,Supermarket,Lidl,-2.217421417637106,53.83453773447649
211,Barnoldswick,Supermarket,Morrisons,-2.024027109146118,53.95872297811892
212,Barnoldswick,Supermarket,Tesco,-2.3109156912223057,53.800911751268906
213,Barnoldswick,Supermarket,Sainsbury's,-2.2421376,53.7937665
214,Barnoldswick,Supermarket,Morrisons,-2.2179368739033287,53.838960683334584
215,Barnoldswick,Supermarket,Tesco Extra,-2.2400634,53.7861786
216,Barnoldswick,Supermarket,Lidl,-2.23454194281448,53.803791806672
217,Barnoldswick,Supermarket,Sainsbury's,-2.391631492774169,53.86919683697479
218,Barnoldswick,Supermarket,Booths,-2.214138306057883,53.85379592904089
219,Barnoldswick,Supermarket,Morrisons,-1.90733242675545,53.86437757007147
220,Barnoldswick,Supermarket,Lidl,-2.38736344109363,53.8713159167274
221,Barnoldswick,Supermarket,Aldi,-2.1690889200380936,53.85975962745746
222,Barnoldswick,Supermarket,Asda,-2.2452109,53.7953289
223,Barnoldswick,Supermarket,Sainsbury's,-1.9047563708494164,53.86892420656881
224,Barnoldswick,Supermarket,Aldi,-2.013050303585217,53.941579546713
225,Barnoldswick,Supermarket,Aldi,-1.9021558531706004,53.867104995670935
226,Barnoldswick,Supermarket,Tesco,-2.3878801,53.8728984
227,Barnoldswick,Supermarket,Tesco,-2.021587720237676,53.95747334215006
228,Barnoldswick,Supermarket,Aldi,-2.3955986384927725,53.863012163805955
229,Barnoldswick,Supermarket,Sainsbury's,-2.1663158363601465,53.859910226707456
230,Barnoldswick,Supermarket,Aldi,-1.93898,53.908637
231,Barnoldswick,Supermarket,Asda,-2.1967676,53.849659
232,Barnoldswick,Supermarket,Asda,-1.9020335,53.8690315
233,Bedlington,Supermarket,Aldi,-1.4945841477488038,54.998390073175216
234,Bedlington,Supermarket,Aldi,-1.456865,55.03389
235,Bedlington,Supermarket,Waitrose & Partners,-1.74391,55.049208
236,Bedlington,Supermarket,Lidl,-1.59817745214174,55.1330648436865
237,Bedlington,Supermarket,Aldi,-1.6789634545770546,54.96223168820776
238,Bedlington,Grocery Store,HiYou Oriental Food Emporium,-1.6175248275696439,54.97358808677871
239,Bedlington,Supermarket,Lidl,-1.6876401649091202,55.16838464681994
240,Bedlington,Supermarket,Lidl,-1.5253949625932,55.131710821486
241,Bedlington,Supermarket,Sainsbury's,-1.619783,55.005654
