,Town,Population,Size,Latitude,Longitude,Supermarkets,7.5km,10km,12.5km,15km
218,Newark-on-Trent,39947,Medium Town,53.07428,-0.80972,6,48910,67008,73921,87808
219,Hitchin,36551,Medium Town,51.95362,-0.28469,10,87666,216279,465865,497538
220,Hedge End,26506,Medium Town,50.91586,-1.29243,15,190978,503602,926127,958344
221,Loughton,33088,Medium Town,51.6477,0.055520000000000014,23,81646,748859,755904,1919670
222,Barry,57920,Medium Town,51.40178,-3.27799,6,73395,110754,464932,483490
223,Merthyr Tydfil,45109,Medium Town,51.75057,-3.37635,10,100612,127105,203400,248428
224,Pontypridd,30967,Medium Town,51.59765,-3.33117,9,129288,231874,327370,368785
225,Caerphilly,41986,Medium Town,51.57658,-3.21771,18,78666,182533,607204,641910
226,Llanelli,45309,Medium Town,51.68268,-4.13425,8,86256,112619,121833,321624
227,Pontypool,29166,Medium Town,51.7033,-3.0432900000000003,7,106153,120617,193019,400537
228,Rhyl,26466,Medium Town,53.311580000000006,-3.47234,9,65991,78889,82505,99558
229,Colwyn Bay,28233,Medium Town,53.29387,-3.72535,7,66153,75904,77159,92893
230,Penarth,30010,Medium Town,51.43909,-3.1745400000000004,24,393140,451332,451749,471730
231,Aberdare,31396,Medium Town,51.7126,-3.4457,7,132542,160732,204474,244745
232,Bridgend,49338,Medium Town,51.50884,-3.5782199999999995,9,78376,119153,159395,195506
233,Neath,51433,Medium Town,51.66273,-3.79982,12,67827,111594,319114,336625
234,Cwmbran,48287,Medium Town,51.65773,-3.02576,8,85907,258225,314885,364879
235,Port Talbot,38104,Medium Town,51.59138,-3.80235,6,40798,92231,315413,347995
