,Town,Population,Size
3310,Hunmanby,3123,Other
3311,Therfield,313,Other
3312,Goldsborough,450,Other
3313,Methwold,933,Other
3314,Nether Compton,291,Other
3315,Chagford,1078,Other
3316,Asfordby,2529,Other
3317,Legbourne,653,Other
3318,Cawthorne,957,Other
3319,Holme Lacy,484,Other
3320,Whittington Barracks,442,Other
3321,Aston-on-Trent,2418,Other
3322,Bowburn,4259,Other
3323,Beckley (Rother),765,Other
3324,Mytholmroyd,4053,Other
3325,Soberton,322,Other
3326,Knowbury,324,Other
3327,Higham Park,702,Other
3328,Netherbury,355,Other
3329,Tiptree,9219,Other
3330,Croucheston,469,Other
3331,North Cadbury,653,Other
3332,Newton Poppleford,1784,Other
3333,Eakring,470,Other
3334,Gamlingay,3294,Other
3335,Stratton-on-the-Fosse,846,Other
3336,Kislingbury,1325,Other
3337,Fishtoft,1008,Other
3338,Bottesford,3336,Other
3339,Swanmore,3059,Other
3340,Peacehaven,20247,Other
3341,Old Langho,1335,Other
3342,Littleton Panell,1512,Other
3343,Slingsby,703,Other
3344,Tetbury,5479,Other
3345,Kirton (Suffolk Coastal),1188,Other
3346,Tydd St Mary,698,Other
3347,Wenhaston,559,Other
3348,Glentham,528,Other
3349,Mollington (Cherwell),505,Other
3350,Bishopsteignton,2336,Other
3351,Leighton Buzzard,42573,Medium Town
3352,Little Waldingfield,372,Other
3353,Ullesthorpe,1053,Other
3354,Uffculme,2078,Other
3355,Pembridge,478,Other
3356,Grampound Road,1148,Other
3357,Staxton,750,Other
3358,Cranage,316,Other
3359,Ham,240,Other
3360,Broughton in Furness,468,Other
3361,Oaksey,540,Other
3362,Long Compton,883,Other
3363,Boscastle,703,Other
3364,Capel,1253,Other
3365,Chirton,407,Other
3366,Greenfield,1857,Other
3367,Mickleton (County Durham),397,Other
3368,Pattishall,677,Other
3369,Notton,473,Other
3370,Thurlton,1112,Other
3371,Slimbridge,747,Other
3372,Newport (Uttlesford),2645,Other
3373,Broughton Astley,9220,Other
3374,Pontesbury,1943,Other
3375,Selborne,529,Other
3376,Casterton,352,Other
3377,Lostwithiel,2754,Other
3378,Waltham St Lawrence,475,Other
3379,Perham Down,1408,Other
3380,Cattistock,532,Other
3381,Ridgewell,573,Other
3382,Charmouth,1402,Other
3383,Preston Candover,434,Other
3384,Buckland,590,Other
3385,Navenby,3072,Other
3386,Whittlesey,13329,Other
3387,Edingley,478,Other
3388,North Marston,770,Other
3389,Gaunt's Common,468,Other
3390,Brushford,229,Other
3391,Holmeswood (West),334,Other
3392,Grantchester,604,Other
3393,Middle Winterslow,1634,Other
3394,Brandon (Forest Heath),9343,Other
3395,Langford (West Oxfordshire),378,Other
3396,Thundridge,696,Other
3397,Springhill,538,Other
3398,Upper Boddington,412,Other
3399,Nettlebed,757,Other
3400,Wolston,2601,Other
3401,Challock,949,Other
3402,Kilkhampton,992,Other
3403,School Aycliffe,653,Other
3404,Fordcombe,586,Other
3405,Oswaldkirk,231,Other
3406,Surfleet Seas End,1040,Other
3407,Brant Broughton,770,Other
3408,Barton (Wyre),1171,Other
3409,Cottenham,5721,Other
3410,Little Houghton,433,Other
3411,Stoke Golding,1962,Other
3412,Boughton,238,Other
3413,Stoke St Michael,744,Other
3414,Lamerton,838,Other
3415,Bourne,16780,Other
3416,Bratton Fleming,882,Other
3417,Cobham (Gravesham),290,Other
3418,Barnetby le Wold,1729,Other
3419,Parson Drove,831,Other
3420,St Just,1981,Other
3421,Staplehurst,5204,Other
3422,Cheadle,11353,Other
3423,Fishlake,337,Other
3424,Wingrave,1459,Other
3425,Wye,2165,Other
3426,Heversham,746,Other
3427,Spofforth,1180,Other
3428,"Pinesfield Lane, nr Culverstone Green",258,Other
3429,Knowle Hill,592,Other
3430,Maltby le Marsh,327,Other
3431,Brompton-by-Sawdon,305,Other
3432,University of Nottingham School of Agriculture,351,Other
3433,Ashcott,846,Other
3434,Rollesby,679,Other
3435,Hindon,557,Other
3436,Hulland Ward,698,Other
3437,Brixworth,5910,Other
3438,Ickleton,742,Other
3439,Bar Hill,4019,Other
3440,Dartington,871,Other
3441,Ash Green,483,Other
3442,Friston,1637,Other
3443,Upper Tysoe,881,Other
3444,Stoke Gabriel,1247,Other
3445,Wherwell,467,Other
3446,Fosdyke,476,Other
3447,Downton,2916,Other
3448,North Stoke,357,Other
3449,Wymondham (Melton),635,Other
3450,Barnes Street,564,Other
3451,Humshaugh,760,Other
3452,Lyndhurst,2481,Other
3453,Chipping Ongar,6407,Other
3454,Kirton (Boston),5342,Other
3455,Dumbleton,571,Other
3456,Ufford (City of Peterborough),259,Other
3457,Westleigh,608,Other
3458,Great Horwood,1083,Other
3459,Fleetwood,25632,Medium Town
3460,Shildon,9938,Other
3461,St Cleer,1737,Other
3462,Barton Stacey,857,Other
3463,Brocton,713,Other
3464,Haddenham (East Cambridgeshire),2959,Other
3465,Chideock,651,Other
3466,Aynho,715,Other
3467,Lakenheath Airfield,3146,Other
3468,Ashford Carbonell,334,Other
3469,Carlton (Stockton-on-Tees),773,Other
3470,Langford Budville,517,Other
3471,Kenton,943,Other
3472,Ottringham,634,Other
3473,Sharnford,1024,Other
3474,Horton (South Gloucestershire),456,Other
3475,Oakington,1507,Other
3476,Haltwhistle,3822,Other
3477,Ide Hill,391,Other
3478,Milton Ernest,732,Other
3479,Datchet,4983,Other
3480,Foston (South Kesteven),553,Other
3481,Barley,718,Other
3482,Curtisden Green,437,Other
3483,Hampsthwaite,1037,Other
3484,Mistley,1646,Other
3485,Laxton,395,Other
3486,Broad Heath,259,Other
3487,Hemsby,5687,Other
3488,Ashby-de-la-Zouch,14528,Other
3489,King's Bromley,1033,Other
3490,Coalhill,277,Other
3491,Wadebridge,7002,Other
3492,Pailton,523,Other
3493,Camber,1234,Other
3494,Heytesbury,532,Other
3495,Wicken Bonhunt,242,Other
3496,Dauntsey,554,Other
3497,Stoke (Havant),1267,Other
3498,Helmsley,1627,Other
3499,Marston Magna,528,Other
3500,Chiddingfold,2209,Other
3501,Beanacre,316,Other
3502,Tarvin,2594,Other
3503,Neasham,407,Other
3504,Staindrop,1317,Other
3505,Takeley Street,546,Other
3506,Marsham,568,Other
3507,Broadclyst,1583,Other
3508,Harpenden,31613,Medium Town
3509,Melsonby,688,Other
3510,Upton upon Severn,1837,Other
3511,Halesworth,5872,Other
3512,Staithes,815,Other
3513,Masham,1208,Other
3514,Attleborough,11659,Other
3515,Bumble's Green,486,Other
3516,Wortwell,554,Other
3517,Heighington,1347,Other
3518,Sea Palling,429,Other
3519,Great Bircham,450,Other
3520,Pointon,510,Other
3521,Coddenham,636,Other
3522,Fleet,42262,Medium Town
3523,Flecknoe,288,Other
3524,Holcombe Rogus,263,Other
3525,Caistor,2784,Other
3526,Whittlebury,641,Other
3527,Hartpury College,1369,Other
3528,Brigstock,1403,Other
3529,Great Rollright,536,Other
3530,North Newton,338,Other
3531,Needham,318,Other
3532,Upper Arncott,1046,Other
3533,Milborne Port,3030,Other
3534,Fairlight,1638,Other
3535,Ascott-under-Wychwood,533,Other
3536,Appleby Magna,1137,Other
3537,New Holland,917,Other
3538,Ramsey (Huntingdonshire),7765,Other
3539,Alkborough,461,Other
3540,Goxhill,2311,Other
3541,Bentworth,495,Other
3542,Elton,658,Other
3543,Plumpton Green,1131,Other
3544,Eyke,372,Other
3545,Cossington,674,Other
3546,Langford (Central Bedfordshire),3536,Other
3547,Shamley Green,1144,Other
3548,Burn,465,Other
3549,Acton,1673,Other
3550,Wantage,19834,Other
3551,Walpole Cross Keys,485,Other
3552,Harmby,396,Other
3553,High Bentham,1718,Other
3554,Combe,766,Other
3555,Kingham,632,Other
3556,Milton Lilbourne,294,Other
3557,Hawsker,237,Other
3558,East Leake,7996,Other
3559,Askern,5742,Other
3560,Datchworth,1221,Other
3561,Burwash Common,804,Other
3562,Long Sutton (South Holland),5345,Other
3563,Battle,6588,Other
3564,Shiplake,566,Other
3565,Shepherdswell,1641,Other
3566,Stewartby,1810,Other
3567,Breage,617,Other
3568,Hartley Wintney,5215,Other
3569,Woolpack Corner,206,Other
3570,Pavenham,497,Other
3571,New Ollerton,10955,Other
3572,Burton-by-Lincoln,431,Other
3573,Berry's Green,202,Other
3574,Brinklow,1181,Other
3575,Charlton Horethorne,626,Other
3576,Carlby,556,Other
3577,Duke's Hill,145,Other
3578,Waterford,288,Other
3579,Clanfield,927,Other
3580,Hurst Green (Rother),1225,Other
3581,North Cave,1447,Other
3582,Evenwood,1670,Other
3583,Skelton (Eden),353,Other
3584,Aldwincle,323,Other
3585,Elmsett,633,Other
3586,Little Berkhamsted,497,Other
3587,Belchamp St Paul,352,Other
3588,Reach,329,Other
3589,Westhampnett,568,Other
3590,Whaplode,1702,Other
3591,Barnston (Uttlesford),922,Other
3592,Yardley Hastings,756,Other
3593,Uttoxeter,13467,Other
3594,Bircotes,8506,Other
3595,Scropton,344,Other
3596,Collingbourne Kingston,514,Other
3597,Kirkby Thore,731,Other
3598,Ilmington,769,Other
3599,Hauxton,1015,Other
3600,Laceby,3340,Other
3601,Littleton,671,Other
3602,Elston,653,Other
3603,North Walsham,12710,Other
3604,Hayton (Allerdale),240,Other
3605,Kirklington,426,Other
3606,Kenninghall,803,Other
3607,Penwithick,2008,Other
3608,Nocton,934,Other
3609,Nanstallon,587,Other
3610,Cherington,361,Other
3611,Steeple Ashton,1422,Other
3612,Stanton St John,431,Other
3613,Meysey Hampton,434,Other
3614,Greetham,839,Other
3615,Snitterfield,997,Other
3616,Stilton,2366,Other
3617,Fox Street,581,Other
3618,Rackheath/Salhouse,366,Other
3619,High Roding,581,Other
3620,Stow,334,Other
3621,Broad Oak (Wealden),1079,Other
3622,Kempsey,3369,Other
3623,Bourton,1541,Other
3624,Sutton (West Oxfordshire),352,Other
3625,Seaton (East Devon),8837,Other
3626,Northborough,1203,Other
3627,Coopersale,1051,Other
3628,Scawby,1658,Other
3629,Sutton Waldron,238,Other
3630,Great Rissington,340,Other
3631,Kibblesworth,1404,Other
3632,Fulmer,225,Other
3633,Canewdon,1113,Other
3634,Sporle,783,Other
3635,Portinscale,532,Other
3636,Somerton (South Somerset),4406,Other
3637,Chudleigh Knighton,1137,Other
3638,Coltishall,2242,Other
3639,Alderholt,2928,Other
3640,Woolley,371,Other
3641,Toddington,4644,Other
3642,Cumwhinton,431,Other
3643,Shepreth,583,Other
3644,Lye's Green,344,Other
3645,Pilning,1492,Other
3646,Kingsbury Episcopi,704,Other
3647,Corse Lawn,279,Other
3648,Shortstown,2374,Other
3649,Purleigh,561,Other
3650,Weston Hills,779,Other
3651,Stourpaine,654,Other
3652,Thrussington,608,Other
3653,Pattingham,1762,Other
3654,Stotfold,8538,Other
3655,Puddletown,1219,Other
3656,Tisbury,2394,Other
3657,Luddington,435,Other
3658,Chapel Row,627,Other
3659,Chale Green,306,Other
3660,Backworth,1558,Other
3661,Bradford Peverell,363,Other
3662,Pool,1888,Other
3663,Westbury-sub-Mendip,810,Other
3664,Othery,630,Other
3665,Spellbrook,317,Other
3666,Blundeston,989,Other
3667,Lambley,896,Other
3668,Barmby Moor,867,Other
3669,Alderton (Tewkesbury),836,Other
3670,Yoxford,775,Other
3671,Horsmonden,1692,Other
3672,Blunham,1060,Other
3673,Holme next the Sea,196,Other
3674,Willington (South Derbyshire),3357,Other
3675,Shepshed,14059,Other
3676,Clacton-on-Sea,53768,Medium Town
3677,Shadwell,1352,Other
3678,Swayfield,288,Other
3679,Parwich,435,Other
3680,Gressenhall,920,Other
3681,Chilton (County Durham),4199,Other
3682,Middleton (King's Lynn and West Norfolk),1184,Other
3683,South Cerney,3001,Other
3684,Whitby,13143,Other
3685,Barton-le-Clay,4950,Other
3686,Tebay,439,Other
3687,East Peckham,2474,Other
3688,Barkston,515,Other
3689,Whissonsett,491,Other
3690,Drakes Broughton,1401,Other
3691,Lawshall,675,Other
3692,Long Riston,1019,Other
3693,Ditcheat,361,Other
3694,Frant,728,Other
3695,Great Milton,603,Other
3696,Broadhempston,759,Other
3697,Sancton,268,Other
3698,Framfield,698,Other
3699,Ellerker,414,Other
3700,Buckland Monachorum,762,Other
3701,Woore,797,Other
3702,Gerrans,575,Other
3703,Trebetherick,441,Other
3704,Ashbourne,9163,Other
3705,Galgate,2122,Other
3706,North Curry,1005,Other
3707,Cheltenham,117073,Other
3708,Little Somerford,371,Other
3709,Shipbourne,504,Other
3710,Lizard,994,Other
3711,Belton (North West Leicestershire),761,Other
3712,Hallaton,637,Other
3713,Shenstone,2200,Other
3714,Turners Hill,843,Other
3715,Abberton,811,Other
3716,West Ashton,456,Other
3717,Lydd,4023,Other
3718,Chelford,1064,Other
3719,Hoghton,505,Other
3720,Congleton,26380,Medium Town
3721,Offham,486,Other
3722,Ludgershall (Aylesbury Vale),426,Other
3723,Steeple Claydon,2221,Other
3724,Staverton,450,Other
3725,Tivetshall St Margaret,321,Other
3726,Whitmore,124,Other
3727,Lydden,705,Other
3728,Durley,322,Other
3729,Petworth,2579,Other
3730,Mark,667,Other
3731,Stanton (Tewkesbury),187,Other
3732,Ampney Crucis,647,Other
3733,North Kyme,440,Other
3734,Woolavington,2306,Other
3735,Kington,2694,Other
3736,Mawgan Porth,265,Other
3737,Middleton (Suffolk Coastal),377,Other
3738,Rishton,6424,Other
3739,Todmorden,12171,Other
3740,Stocksbridge,13053,Other
3741,Heybrook Bay,487,Other
3742,Reawla,1063,Other
3743,Frisby on the Wreake,613,Other
3744,Oxenhope,1910,Other
3745,Bredgar,456,Other
3746,Shifnal,7618,Other
3747,Twyford (Wokingham),7854,Other
3748,Burnhope,1547,Other
3749,Tilney St Lawrence,1343,Other
3750,Everthorpe Hall,1178,Other
3751,Brompton-on-Swale,1885,Other
3752,Stonely,358,Other
3753,Spennymoor,19607,Other
3754,Long Lartin Prison,613,Other
3755,Ashwell,1873,Other
3756,Witheridge,1182,Other
3757,West Wratting,490,Other
3758,Stubbington,25239,Medium Town
3759,Bishop Wilton,562,Other
3760,Stone (Aylesbury Vale),2149,Other
3761,Enham Alamein,1622,Other
3762,Long Melford,3017,Other
3763,West Felton,736,Other
3764,Hurstbourne Tarrant,657,Other
3765,Hobson,710,Other
3766,Alton (East Hampshire),19785,Other
3767,Whimple,1189,Other
3768,Raskelf,553,Other
3769,Blidworth,4341,Other
3770,Forest Hill,539,Other
3771,Radlett,8108,Other
3772,Buxted,2159,Other
3773,Hurst,1365,Other
3774,Fovant,696,Other
3775,Kimpton,1456,Other
3776,Carhampton,784,Other
3777,Morland,404,Other
3778,Cade Street,309,Other
3779,Hazelwood,314,Other
3780,Dunchurch,2488,Other
3781,Longden,332,Other
3782,Colburn,4488,Other
3783,Wicken (South Northamptonshire),311,Other
3784,Blackmore,832,Other
3785,Thaxted,3186,Other
3786,Leaden Roding,694,Other
3787,Newton Flotman,1453,Other
3788,Kingsley (Staffordshire Moorlands),725,Other
3789,Woolton Hill,2746,Other
3790,Withernsea,6381,Other
3791,Princetown,1458,Other
3792,Padbury,779,Other
3793,Brixton,1566,Other
3794,Tanworth-in-Arden,230,Other
3795,Bradwell (Braintree),530,Other
3796,Blackborough End,277,Other
3797,Trimdon Grange,1243,Other
3798,Lynsted,656,Other
3799,Weston-on-the-Green,529,Other
3800,Haddenham (Aylesbury Vale),5099,Other
3801,Neston,15104,Other
3802,Barwick,1100,Other
3803,Elvington,844,Other
3804,Deeping St Nicholas,1404,Other
3805,Eccleshall,3002,Other
3806,Middlewich,14130,Other
3807,Stoke-by-Clare,506,Other
3808,Wellington Heath,511,Other
3809,Wansford,564,Other
3810,Fulbeck,363,Other
3811,Chilworth,1859,Other
3812,Ashington (Horsham),2662,Other
3813,Hemingford Abbots,594,Other
3814,Winkleigh,1323,Other
3815,Rawreth,321,Other
3816,Winterton,4825,Other
3817,Moggerhanger,631,Other
3818,Southwick (Winchester),770,Other
3819,Skellingthorpe Big Wood,103,Other
3820,Saxlingham Nethergate,710,Other
3821,Barton St David,619,Other
3822,Worlingworth,895,Other
3823,Alvechurch,3889,Other
3824,Wiggenhall St Germans,801,Other
3825,Feltwell,2565,Other
3826,Singleton,500,Other
3827,Hixon,2013,Other
3828,Meriden,2136,Other
3829,Stratton,2550,Other
3830,Eccles on Sea,321,Other
3831,Poulshot,380,Other
3832,Henham,1018,Other
3833,Silverdale,1321,Other
3834,Wold Newton,331,Other
3835,Morley,230,Other
3836,Upton (West Lindsey),469,Other
3837,Highsted,414,Other
3838,Bow,1122,Other
3839,Guyhirn,349,Other
3840,Chiserley,691,Other
3841,Walton-on-Thames,1393,Other
3842,Avening,1008,Other
3843,Stuston,201,Other
3844,Great Broughton (Allerdale),1814,Other
3845,Terrington St Clement,3434,Other
3846,"Aldeburgh Road, nr Leiston",274,Other
3847,Starcross,1726,Other
3848,Edenbridge,9004,Other
3849,Orton,270,Other
3850,St Erth,1108,Other
3851,Welbourn,695,Other
3852,Chipperfield (Dacorum),1367,Other
3853,Blakeney (North Norfolk),758,Other
3854,Cudworth,314,Other
3855,Leintwardine,646,Other
3856,Butleigh,826,Other
3857,Catworth,356,Other
3858,Sutton (Chichester),395,Other
3859,Maryport,9538,Other
3860,Winterbourne Abbas,662,Other
3861,Wymondham (South Norfolk),16441,Other
3862,Ellesmere,4165,Other
3863,Creswell,5876,Other
3864,Egginton,573,Other
3865,Yarnfield,1989,Other
3866,Woodmancote,323,Other
3867,Stourton Caundle,442,Other
3868,Ditchingham,2142,Other
3869,Burton Joyce,3818,Other
3870,Sedlescombe,961,Other
3871,Wetwang,762,Other
3872,Upper Oddington,396,Other
3873,Froggatt,174,Other
3874,Higher Folds,2909,Other
3875,Perry Green,482,Other
3876,Longnewton,829,Other
3877,Northaw,617,Other
3878,Corbridge,3055,Other
3879,Quarndon,962,Other
3880,Stillington (Hambleton),830,Other
3881,Chilcompton,2317,Other
3882,Westerleigh,509,Other
3883,Bampton (West Oxfordshire),2923,Other
3884,Millbrook,2286,Other
3885,Warthill,248,Other
3886,Holy Cross,580,Other
3887,Towersey,442,Other
3888,Micheldever,451,Other
3889,Saltash,15762,Other
3890,Blockley,1014,Other
3891,Horton (South Somerset),1450,Other
3892,Beal,484,Other
3893,Roxwell,397,Other
3894,Harrold,1695,Other
3895,Cheriton Fitzpaine,547,Other
3896,Templecombe,1571,Other
3897,Hunsdon,971,Other
3898,Denham,1425,Other
3899,Broad Hinton,649,Other
3900,Hertford Heath,2929,Other
3901,Potters Bar,23429,Other
3902,Laughton en le Morthen,983,Other
3903,Upper Caldecote,1246,Other
3904,Woodstock (West Oxfordshire),2812,Other
3905,Minster Lovell,1294,Other
3906,The Wells,1515,Other
3907,Clampits,362,Other
3908,Seavington St Michael,143,Other
3909,Nether Broughton,485,Other
3910,Heath End,352,Other
3911,King's Somborne,1192,Other
3912,Wereham,688,Other
3913,Shabbington,544,Other
3914,Headley (Basingstoke and Deane),684,Other
3915,Banwell,2051,Other
3916,Marcham,2252,Other
3917,Winsham,689,Other
3918,Bentley (East Hampshire),1360,Other
3919,Pembury,6037,Other
3920,Burghill,168,Other
3921,Newton St Cyres,641,Other
3922,Eythorne,1563,Other
3923,Isleham,2304,Other
3924,Bishopstone,349,Other
3925,Clevedon,21138,Other
3926,Burrington,249,Other
3927,Carnkie,321,Other
3928,Ubley,336,Other
3929,Huby (Hambleton),1071,Other
3930,Kingsland,584,Other
3931,Hoo Marina Park,769,Other
3932,Tytherington,695,Other
3933,Langworth,437,Other
3934,St Buryan,689,Other
3935,Goulceby,321,Other
3936,South Godstone,1464,Other
3937,Anstey,7363,Other
3938,Brent Knoll,1263,Other
3939,North Moreton,334,Other
3940,Lower Moor,767,Other
3941,Alvescot,477,Other
3942,Boosbeck,1209,Other
3943,St Tudy,667,Other
3944,Hawes,857,Other
3945,Moss,386,Other
3946,Roos,782,Other
3947,Docking,812,Other
3948,Goostrey,1883,Other
3949,Hartpury,787,Other
3950,Staveley,1443,Other
3951,Mersham,1503,Other
3952,Aslackby,258,Other
3953,Hebden Bridge,4112,Other
3954,Barlestone,2608,Other
3955,Sticker,816,Other
3956,Yardley Gobion,1260,Other
3957,Stainton,758,Other
3958,Hallatrow,515,Other
3959,Spixworth,3545,Other
3960,Holcombe,938,Other
3961,Old Alresford,534,Other
3962,Caythorpe,1346,Other
3963,Little Plumstead (South),1118,Other
3964,Mount Hawke,1573,Other
3965,Withernwick,416,Other
3966,St Teath,610,Other
3967,Stamford Bridge,3526,Other
3968,Askam in Furness,3082,Other
3969,Hannington,485,Other
3970,Cransford,156,Other
3971,Iwerne Minster,1011,Other
3972,Great Chesterford,1675,Other
3973,Chedworth,795,Other
3974,Takeley,5136,Other
3975,Blofield Heath,1491,Other
3976,Hindringham,471,Other
3977,Hursley,491,Other
3978,Sulgrave,430,Other
3979,Aldbury,601,Other
3980,Wigginton,811,Other
3981,Great Finborough,837,Other
3982,Fenny Drayton,526,Other
3983,Sharnbrook,1656,Other
3984,Drayton (Vale of White Horse),2799,Other
3985,Treeton,3311,Other
3986,Great Torrington,5980,Other
3987,Hornby,472,Other
3988,Riseley,1321,Other
3989,Farmborough,1081,Other
3990,Polebrook,479,Other
3991,Dundon,365,Other
3992,Aston (Cheshire East),444,Other
3993,Luston,572,Other
3994,East Studdal,532,Other
3995,Curdworth,1109,Other
3996,Haswell,1218,Other
3997,Great Hockham,624,Other
3998,Yelvertoft,810,Other
3999,Flaxton,336,Other
4000,Mulbarton,3736,Other
4001,Southfleet,984,Other
4002,Horsted Keynes,1195,Other
4003,Wilton (County of Herefordshire),647,Other
4004,Upton (Broadland),725,Other
4005,Holton le Clay,3748,Other
4006,Nanpean,2753,Other
4007,Kingsley Holt,595,Other
4008,Cheveley,929,Other
4009,Wroughton,6473,Other
4010,Harthill,1663,Other
4011,Finningley,4913,Other
4012,Sutton Bridge,4018,Other
4013,Upper Heyford,1898,Other
4014,Kingswood (Stroud),1368,Other
4015,Great Amwell,1115,Other
4016,Lower Halstow,1215,Other
4017,St Mary's Bay,3033,Other
4018,Shropham,446,Other
4019,Matching Green,362,Other
4020,Henbury,399,Other
4021,Stockton on the Forest,955,Other
4022,Broyle Side,945,Other
4023,Shareshill,781,Other
4024,West Rainton,2410,Other
4025,West Bergholt,3238,Other
4026,Hemyock,1642,Other
4027,Whitley (Selby),777,Other
4028,North Runcton,272,Other
4029,Earith,1604,Other
4030,Baschurch,1951,Other
4031,Whitacre Heath,442,Other
4032,Aston Tirrold,561,Other
4033,Melton (Suffolk Coastal),677,Other
4034,Ormesby St Margaret,2644,Other
4035,Winfrith Newburgh,313,Other
4036,Cholesbury,321,Other
4037,Dorchester (South Oxfordshire),1021,Other
4038,Shipton under Wychwood,3044,Other
4039,Morton-on-Swale,664,Other
4040,Mayfield (East Staffordshire),1077,Other
4041,Binbrook,918,Other
4042,Barby,925,Other
4043,Nether Whitacre,341,Other
4044,Swarthmoor,1083,Other
4045,Langold,2635,Other
4046,Winthorpe,614,Other
4047,Burton Fleming,460,Other
4048,Ellesborough,508,Other
4049,Ashdon,586,Other
4050,Ramsey Island,1494,Other
4051,Butt's Green,262,Other
4052,Alton (Staffordshire Moorlands),1038,Other
4053,Ashleworth,533,Other
4054,Wrenbury-cum-Frith,796,Other
4055,Collingham,2691,Other
4056,Wolvercote,1116,Other
4057,Scothern,903,Other
4058,Shepton Beauchamp,701,Other
4059,Lanivet,973,Other
4060,Oldcotes,323,Other
4061,Monkwood (West),395,Other
4062,Silchester,736,Other
4063,Cowbit,1268,Other
4064,Parkgate,337,Other
4065,Stoke Orchard,995,Other
4066,Harvington,1724,Other
4067,Brailsford,767,Other
4068,Seisdon,833,Other
4069,Puckeridge,3701,Other
4070,Treswell,277,Other
4071,Hinton,3800,Other
4072,St Osyth,2174,Other
4073,Benwick,1120,Other
4074,Bledington,466,Other
4075,Haselbury Plucknett,726,Other
4076,Wickham St Paul,278,Other
4077,Langport,3360,Other
4078,Castle Camps,652,Other
4079,Westerfield,486,Other
4080,Chew Stoke,786,Other
4081,Isham,778,Other
4082,Wetherden,582,Other
4083,Owston Ferry,1210,Other
4084,Murrow,928,Other
4085,Thornford,928,Other
4086,Great Wilbraham,686,Other
4087,Tavistock,12545,Other
4088,Chopwell,2966,Other
4089,Newnham (Daventry),558,Other
4090,Wooler,2036,Other
4091,Tetford,484,Other
4092,Childswickham,952,Other
4093,Cavendish,850,Other
4094,Corringham (West Lindsey),466,Other
4095,Hadlow Down,433,Other
4096,Codsall,11886,Other
4097,Monk Sherborne,257,Other
4098,Bradworthy,714,Other
4099,Longcot,626,Other
4100,Stoke Wood,353,Other
4101,Kimbolton,1080,Other
4102,Kidmore End,351,Other
4103,Marnhull,1442,Other
4104,Battisford Tye,519,Other
4105,Langtoft (East Riding of Yorkshire),473,Other
4106,Kinoulton,786,Other
4107,Fletching,284,Other
4108,Troston,381,Other
4109,Linkhill,365,Other
4110,Frizington,1769,Other
4111,Flore,1364,Other
4112,Brampton (Huntingdonshire),5462,Other
4113,Lee Mill,512,Other
4114,Acton Bridge,389,Other
4115,Swanton Morley,900,Other
4116,Berrick Salome,331,Other
4117,Wentworth,338,Other
4118,Garboldisham,536,Other
4119,Cockermouth,9495,Other
4120,Wiggenhall St Mary Magdalen,715,Other
4121,North Boarhunt,895,Other
4122,Blandford Forum,12363,Other
4123,Indian Queens,4304,Other
4124,Sherfield on Loddon,1369,Other
4125,Ryton-on-Dunsmore,1846,Other
4126,South Cave,3962,Other
4127,Bunwell,586,Other
4128,Wick (Wychavon),429,Other
4129,Bulphan,1028,Other
4130,Tibshelf,4111,Other
4131,Sittingbourne,53554,Medium Town
4132,Warninglid,236,Other
4133,Fen Drayton,852,Other
4134,Colsterworth,1311,Other
4135,Buxton (High Peak),22437,Other
4136,Motcombe,981,Other
4137,West Hill,2015,Other
4138,Newhaven,14118,Other
4139,Hadleigh,8825,Other
4140,Thetford,27290,Medium Town
4141,Goudhurst,1152,Other
4142,Colerne Airfield,2673,Other
4143,Winchcombe,5347,Other
4144,Tollesbury,2813,Other
4145,Woolhampton,841,Other
4146,Billingshurst,7989,Other
4147,Barns Green,1049,Other
4148,Annfield Plain,10894,Other
4149,Kingswood (Maidstone),1598,Other
4150,Emsworth,20046,Other
4151,Bognor Regis,70309,Other
4152,Tarleton,8624,Other
4153,Lilleshall,1000,Other
4154,Westbury (Wiltshire),18057,Other
4155,Wadhurst,4069,Other
4156,Clenchwarton,1679,Other
4157,Bromeswell,436,Other
4158,Bromley Cross,476,Other
4159,Strensall,5998,Other
4160,Milbourne,379,Other
4161,Dymchurch,3262,Other
4162,Mobberley,2089,Other
4163,Mileham,634,Other
4164,Newdigate,804,Other
4165,Keswick (North Norfolk),1528,Other
4166,Liss,6519,Other
4167,Towcester,10354,Other
4168,Horton (Windsor and Maidenhead),1161,Other
4169,Seascale,1794,Other
4170,Dalton,754,Other
4171,Thornley,2701,Other
4172,Totnes,8844,Other
4173,Cliffs End,2796,Other
4174,Jaywick,5165,Other
4175,Sharpness,1260,Other
4176,Treviscoe,636,Other
4177,Kingsley (East Hampshire),632,Other
4178,Hinckley,49741,Medium Town
4179,Culworth,441,Other
4180,Rangeworthy,530,Other
4181,Rushmoor,880,Other
4182,Yarm,19896,Other
4183,Prees,1050,Other
4184,Princes Risborough,8101,Other
4185,Ramsdell,390,Other
4186,Sturton le Steeple,529,Other
4187,Seaham,22578,Other
4188,Hexham,11378,Other
4189,Scunthorpe,83583,Other
4190,Belper,23891,Other
4191,Badersfield,1988,Other
4192,Pollington,816,Other
4193,Littleport,9053,Other
4194,Freckleton,8628,Other
4195,Paslow Wood Common,320,Other
4196,Perranwell,1336,Other
4197,East Kirkby,312,Other
4198,Arundel,3240,Other
4199,Cliffe,2467,Other
4200,Ewyas Harold,1062,Other
4201,Berwick-upon-Tweed,13516,Other
4202,Wickham,2300,Other
