,Town,Population,Size,Latitude,Longitude,Supermarkets,7.5km,10km,12.5km,15km,Estimated Requirement
124,Arnold,39495,Medium Town,53.002959999999995,-1.12945,28,455912,580686,700350,837504,11.908237768364998
125,Ashton-under-Lyne,47826,Medium Town,53.48945,-2.08806,42,428316,508619,1322229,1591471,15.7152826938731
126,Rushden,32372,Medium Town,52.287620000000004,-0.59802,10,123757,133466,154615,176223,2.8531488162985
127,Horndean,49381,Medium Town,50.90755,-1.00607,11,108775,133322,154018,549742,3.8629339902302
128,Christchurch,56779,Medium Town,50.73408,-1.77653,19,60898,279632,315569,503374,9.2150200306991
129,Fulwood,35917,Medium Town,53.35,-1.55,25,622259,629045,637021,769972,9.946236562201898
130,Great Yarmouth,41138,Medium Town,52.61265,1.7240799999999998,9,82523,92208,100219,104629,2.7447305938341
131,Didcot,29922,Medium Town,51.60237,-1.23211,6,58086,115044,123716,159463,-0.6403987727876004
132,Hertford,29303,Medium Town,51.79634,-0.0827,9,103955,164579,288920,530232,-0.3481875068119997
133,West Bridgford,48856,Medium Town,52.92738000000001,-1.12986,25,473955,523619,666254,784959,9.4670908510706
134,Bletchley,39220,Medium Town,52.0103,-0.7496,22,237905,260652,324175,338897,12.0739627327825
135,Willenhall,53334,Medium Town,52.58425,-2.0572,38,602727,886689,1185096,1281243,13.962971566194398
136,Ramsgate,42040,Medium Town,51.332679999999996,1.42292,10,132254,162422,197965,197965,2.1426173423634998
137,Cheadle Hulme,25394,Medium Town,53.37806,-2.19103,43,275982,370580,1244540,1658487,17.988650160505998
138,Radcliffe,31844,Medium Town,53.55914,-2.32572,33,450535,667851,1383404,1907907,5.712589200955598
139,Coalville,37300,Medium Town,52.71878,-1.37229,8,62317,103685,206175,289588,0.008050712582499564
140,Tipton,45283,Medium Town,52.528569999999995,-2.07001,47,511674,1079976,2295188,2360067,4.7679241621931965
141,Bridlington,35264,Medium Town,54.08364,-0.19255,3,38191,38831,40717,48735,-2.2799973470637003
142,Wath upon Dearne,36318,Medium Town,53.50358000000001,-1.3436,18,143278,306817,441807,648238,6.1459064849873
143,Bebington,58427,Medium Town,53.35599000000001,-3.0037,35,821616,899297,1040536,1096893,13.332393247210398
144,Long Eaton,39387,Medium Town,52.90188000000001,-1.28245,15,103903,216425,629327,952797,0.07234565471529919
145,Lytham St Anne's,44464,Medium Town,53.7495,-2.99154,14,59258,220147,335572,357518,3.8871593369708
146,Cleethorpes,38562,Medium Town,53.559490000000004,-0.03938,11,142451,151459,155522,171466,3.8382825637758
147,Pudsey,33766,Medium Town,53.79767,-1.6559599999999999,41,994478,1159591,1270970,1392223,15.555447234183
148,Pontefract,31280,Medium Town,53.69258000000001,-1.30634,14,138184,167822,232290,387870,5.580010817730999
149,Stretford,27574,Medium Town,53.44571,-2.31382,69,988285,1079618,1317403,1636436,42.794383614131696
150,Gravesend,58640,Medium Town,51.43282,0.36462,13,229889,302817,478893,640454,0.5380455797427004
151,Newton Abbot,27153,Medium Town,50.52892,-3.6082400000000003,9,57983,142491,233401,239527,0.5618008876838996
152,Morecambe,33848,Medium Town,54.07046999999999,-2.85522,15,116420,128253,128253,137255,8.2852371834467
153,Keighley,53538,Medium Town,53.86634,-1.90965,7,117345,187978,200481,630317,-0.8986213471041005
154,Havant,47896,Medium Town,50.8555,-0.98592,16,145030,399604,478801,565008,3.5395535127439004
155,Cheshunt,47124,Medium Town,51.7015,-0.034539999999999994,19,415031,525930,950492,1647206,-1.1917337184411991
156,Totton,29421,Medium Town,50.919909999999994,-1.49115,16,634540,695398,790392,851064,-1.5676024848312018
157,Welwyn Garden City,51357,Medium Town,51.801429999999996,-0.20573000000000002,9,124859,165498,432340,502740,-2.6989239310740007
158,Wickford,34857,Medium Town,51.61149,0.51854,13,299290,328026,386526,619538,2.0519939223713983
159,Esher,52286,Medium Town,51.37014,-0.36454000000000003,31,334672,717631,1278155,1454134,5.4376809449045
160,Folkestone,53949,Medium Town,51.08447,1.17794,12,66084,69879,119202,128125,5.433588287727799
161,St Neots,32657,Medium Town,52.2279,-0.26173,5,45653,57455,91057,142848,-1.1050989479376998
162,Fareham,43549,Medium Town,50.85272,-1.17406,17,146893,455959,504144,679116,4.1241671426416
163,Farnham,27386,Medium Town,51.214459999999995,-0.80037,9,90890,207250,270506,395572,-0.046371438506600526
164,Heanor,27092,Medium Town,53.01375,-1.35353,15,208153,324586,422891,791489,3.4559506224948997
165,Burntwood,28831,Medium Town,52.679759999999995,-1.92002,16,122953,314289,397177,516570,4.8774178963303
166,Abingdon,39654,Medium Town,51.67384000000001,-1.28588,3,57081,260880,279907,329928,-6.200459244422699
167,East Grinstead,30664,Medium Town,51.12401,-0.0076,5,51565,75449,192914,268848,-2.7745938577554004
168,Wilmslow,37670,Medium Town,53.32678000000001,-2.2278700000000002,15,123104,177596,416329,695250,3.5635055828630993
169,Bushey,27278,Medium Town,51.64435,-0.36305,30,249856,522248,1361919,1826395,3.064740728464095
170,Ilkeston,39605,Medium Town,52.97909,-1.31055,15,177743,281843,725515,1170434,-1.5042310791914986
171,Billericay,34987,Medium Town,51.62485,0.41695,10,199830,265446,306057,557625,0.3709271905622984
172,Jarrow,43218,Medium Town,54.982769999999995,-1.47872,37,304345,824332,1026766,1088392,15.5580914801074
173,Newbury,42109,Medium Town,51.40592,-1.3261100000000001,8,78586,81341,89703,115738,1.9170938921016996
174,Weymouth,55279,Medium Town,50.61224,-2.45854,7,62958,67538,90922,101311,0.8971137798357995
175,Ferndown,27647,Medium Town,50.80214,-1.88893,16,57824,284104,505867,514516,3.0959261800212996
176,Accrington,36534,Medium Town,53.7553,-2.37063,12,221438,367729,439272,478331,0.18745659540079984
177,Peterlee,26665,Medium Town,54.76105,-1.3333700000000002,2,85969,127146,248029,275499,-6.677960459506901
178,Worksop,43613,Medium Town,53.30659,-1.1231799999999998,8,52633,91199,146129,259657,0.9922392450831001
179,Andover,46906,Medium Town,51.20655,-1.4767700000000001,9,60662,65380,71187,92712,3.2205817991692998
180,Woodley,38506,Medium Town,53.42683,-2.09714,48,423692,567876,1212574,1736371,23.512591316118595
181,Wellingborough,53165,Medium Town,52.302440000000004,-0.6963199999999999,11,132946,142836,220034,235121,2.7808937184125995
182,Ditton,27566,Medium Town,51.299609999999994,0.45203999999999994,12,178287,203278,475083,501001,-0.3995063253163007
183,Egham,29539,Medium Town,51.43099,-0.54719,11,145151,411902,608514,1342165,-3.5865172849154003
184,Staines,26808,Medium Town,51.435159999999996,-0.50662,19,159786,301225,816204,1455112,1.0093239648755983
185,Torquay,51339,Medium Town,50.46788,-3.5437300000000005,12,129862,208697,219044,241914,3.7971203887515994
186,Beeston (Broxtowe),54131,Medium Town,52.97638001,-1.26283329,27,208734,642237,775831,913116,9.6710606937609
187,Warwick,34166,Medium Town,52.28176,-1.59096,12,129244,137447,158039,593235,4.7970274837321
188,Leyland,40198,Medium Town,53.695319999999995,-2.69348,27,266602,286414,301482,395166,17.4459140762198
189,Swadlincote,49972,Medium Town,52.774809999999995,-1.55178,14,151565,165311,197206,256705,6.1550577896234
190,Northwich,48519,Medium Town,53.26018000000001,-2.51091,8,65964,84231,108982,140463,1.6010999754697997
191,Stroud,34726,Medium Town,51.74493,-2.23244,6,86104,90322,107021,270809,-0.3667581047980999
192,Lancaster,51932,Medium Town,54.047509999999996,-2.79763,15,121650,128253,128253,131426,8.2852371834467
193,Wokingham,48356,Medium Town,51.41091,-0.8347899999999999,17,184293,209449,506141,729626,4.091435162169899
194,Kidsgrove,26276,Medium Town,53.08642,-2.23939,13,69709,465385,494555,614539,0.2813363768645001
195,Camberley,39850,Medium Town,51.336240000000004,-0.73423,17,195683,345498,575969,639616,2.9469140142590984
196,Cramlington,27384,Medium Town,55.08716999999999,-1.58876,15,114032,205340,601410,942085,0.5299213676989982
197,Grantham,44807,Medium Town,52.91319,-0.64284,5,54028,55354,72183,76801,-0.7957432146263006
198,Wombwell,25803,Medium Town,53.53076,-1.4108399999999999,20,243305,295110,433949,494094,8.2747036319811
199,Chester-le-Street,37683,Medium Town,54.85908000000001,-1.57497,14,163218,265262,446702,1016047,2.065674614977798
200,Epsom,35314,Medium Town,51.33307,-0.27142,28,378152,615963,731447,1746206,11.398540023383298
201,Consett,25812,Medium Town,54.861509999999996,-1.8347799999999999,6,52344,87990,103720,167824,-0.31265281309200077
202,Royal Leamington Spa,57831,Medium Town,52.2892,-1.5353,12,129242,135017,161077,567945,4.7472329135403
203,Bexhill,45123,Medium Town,50.84533,0.47752,8,140662,150258,155459,158507,0.8393151700700994
204,Wallsend,45441,Medium Town,54.99123,-1.53322,49,713318,778291,917307,1195889,29.352187549437296
205,Weybridge,30305,Medium Town,51.37293,-0.4577,23,218696,407845,921917,1241658,3.276626993616297
206,Glossop,33459,Medium Town,53.44333,-1.9459400000000002,3,102539,163300,392638,577885,-8.0481852787518
207,Hoddesdon,43927,Medium Town,51.76784,-0.01323,12,101844,273646,307477,763155,2.3476525725002997
208,Locks Heath/Warsash/Whiteley,46293,Medium Town,50.85507036,-1.281233241,11,117006,215418,527694,1260124,-2.2618309245134007
209,Skelmersdale,35120,Medium Town,53.54935,-2.77567,7,70390,206106,422963,614216,-4.545229498984302
210,Rickmansworth,25305,Medium Town,51.64175,-0.4667,12,234458,286074,1009642,1099039,-9.1612362947562
211,Shoreham-by-Sea,51116,Medium Town,50.83193,-0.27646,11,196124,199118,456516,477354,-1.0951824988676009
212,Bicester,32835,Medium Town,51.89802,-1.15347,4,42151,48747,60646,106922,-1.6066451381606006
213,Thornaby-on-Tees,25628,Medium Town,54.5384,-1.30351,29,331634,368127,392343,396366,17.9566499411977
