,Area,mnemonic,2011,2012,2013,2014,2015,2016,2017,2018,2019,Size,Latitude,Longitude
129,Guisborough,E34002512,16951,16917,16999,17035,17019,17086,17301,17665,17795,Small Town,54.535610,-1.0522899
130,Rugeley,E34002554,24065,24294,24391,24502,24414,24526,24487,24683,24725,Small Town,52.758680,-1.9370199
131,Saffron Walden,E34002562,15277,15450,15721,15885,16356,16522,16719,16825,17012,Small Town,52.020590,0.23990000
132,Knutsford,E34002605,13230,13271,13250,13281,13220,13340,13286,13164,13095,Small Town,53.304310,-2.3762999
133,Biggleswade,E34002609,16630,17117,17488,17972,18604,19309,20221,20983,21673,Small Town,52.086980,-0.2616199
134,Ripon,E34002624,16534,16733,16669,16450,16409,16203,16181,16173,16121,Small Town,54.136120,-1.5243499
135,Selsey,E34002637,10520,10450,10503,10519,10500,10460,10486,10533,10519,Small Town,50.741910,-0.7826299
136,Ilfracombe,E34002653,11169,11108,11126,11069,11023,10990,11068,11055,10946,Small Town,51.208250,-4.1232499
137,Newton Aycliffe,E34002689,25980,25964,25726,25767,25778,25833,25859,26065,26116,Medium Town,54.619120,-1.5714899
138,South Woodham Ferrers,E34002729,16447,16374,16416,16488,16320,16273,16239,16137,15978,Small Town,51.653240,0.60763000
139,Lichfield,E34002733,33003,33188,33350,33479,33629,33704,33816,33970,34169,Medium Town,52.684170,-1.8188599
140,Blackfield,E34002766,13741,13879,13776,13874,13809,13713,13594,13537,13505,Small Town,50.818430,-1.3728299
141,Yaxley,E34002796,9191,9315,9402,9479,9371,9352,9412,9554,9505,Small Town,52.518670,-0.2547699
142,Lymm,E34002801,11638,11702,11857,11971,11985,11973,11950,11870,11908,Small Town,53.379620,-2.4870599
143,Dereham,E34002816,20732,20803,20874,21051,21119,21079,21246,21434,21362,Small Town,52.680230,0.94491000
144,Newport (Telford and Wrekin),E34002854,12702,12700,12544,12459,12592,12859,13184,13442,13539,Small Town,52.730230,-2.4887221
145,Beaconsfield,E34002872,13836,14035,14264,14443,14619,14699,14650,14677,14667,Small Town,51.611860,-0.6469899
146,Croesowallt,E34002877,18814,18791,18998,19184,19257,19577,19850,19886,20119,Small Town,52.981740,-4.0399199
147,Chapel-en-le-Frith,E34002878,6607,6533,6621,6613,6729,6847,7113,7356,7614,Small Town,53.322940,-1.9165099
148,Longridge,E34002906,7580,7493,7519,7608,7753,7812,7936,8068,8087,Small Town,53.829110,-2.6006899
149,Verwood,E34002917,13394,13475,13591,13683,13636,13650,13745,13673,13650,Small Town,50.881740,-1.8787099
